DeliveryID,DriverID,VehicleID,RouteID,StartTime,DistanceKM,EndTime
0,13.0,7.0,116,2024-02-20 13:58:32,17.7,2024-02-20 14:21:48.779572759
1,43.0,,39,2022-11-17 19:41:14,24.4,2022-11-17 20:23:26.582906420
2,73.0,25.0,107,2024-11-08 17:23:13,23.6,2024-11-08 18:07:56.784500740
3,65.0,42.0,118,2024-04-08 09:14:03,13.6,2024-04-08 09:35:24.894154680
4,23.0,34.0,42,2023-01-14 17:41:21,23.4,2023-01-14 18:13:25.038844320
5,40.0,47.0,50,2023-04-05 17:16:42,23.7,2023-04-05 18:00:50.203444800
6,,21.0,27,2022-11-19 06:45:15,21.4,2022-11-19 07:16:17.395184940
7,36.0,29.0,106,,20.0,2025-07-09 10:02:57.208926960
8,50.0,17.0,83,2025-05-16 08:53:56,24.5,2025-05-16 09:24:48.695714240
9,78.0,36.0,130,2024-11-04 11:59:09,17.0,2024-11-04 12:29:18.836954520
10,85.0,40.0,65,2023-12-02 17:38:01,12.6,2023-12-02 17:57:46.814247160
11,85.0,21.0,14,2024-10-02 02:58:33,13.5,2024-10-02 03:19:19.329907140
12,92.0,34.0,108,2025-04-04 09:51:30,16.3,2025-04-04 10:23:15.016054260
13,96.0,16.0,15,2022-12-05 22:22:26,10.0,2022-12-05 22:38:21.914980640
14,30.0,46.0,179,2025-03-02 19:19:07,20.7,2025-03-02 19:44:14.043309940
15,40.0,44.0,150,2025-06-15 12:07:37,11.5,2025-06-15 12:30:14.821127620
16,12.0,9.0,58,2025-02-14 04:30:21,21.1,2025-02-14 04:55:52.569218580
17,93.0,44.0,81,2023-09-04 18:33:21,16.0,2023-09-04 18:59:24.547733220
18,1.0,3.0,190,2025-06-05 08:46:32,22.7,2025-06-05 09:25:16.767315560
19,90.0,23.0,178,2025-03-31 23:37:06,12.0,2025-04-01 00:00:05.222873520
20,16.0,13.0,169,2025-03-11 06:52:38,7.1,2025-03-11 07:05:00.675606680
21,82.0,38.0,32,,14.9,2023-02-24 14:25:53.922169200
22,97.0,34.0,161,,16.6,2024-08-15 01:49:42.674328760
23,50.0,30.0,193,2023-02-20 11:40:54,16.5,2023-02-20 12:03:31.119610800
24,43.0,39.0,41,2025-03-18 23:26:08,9.1,2025-03-18 23:42:09.164453840
25,87.0,26.0,83,2022-08-11 10:10:36,24.5,2022-08-11 10:52:29.796637980
26,60.0,32.0,102,2025-05-20 01:31:45,18.7,2025-05-20 01:57:50.388237720
27,5.0,,124,2022-08-18 08:17:21,7.1,2022-08-18 08:26:35.935194480
28,21.0,46.0,115,2022-11-16 19:28:33,12.9,2022-11-16 19:51:47.215098480
29,65.0,38.0,59,2025-03-10 05:18:09,20.2,2025-03-10 05:58:05.004031860
30,95.0,9.0,99,2024-10-12 06:52:00,22.9,2024-10-12 07:33:00.499663319
31,82.0,39.0,186,2023-02-19 03:38:26,11.6,2023-02-19 03:59:18.493691180
32,21.0,16.0,132,2024-06-14 13:51:53,20.6,2024-06-14 14:19:21.037423400
33,71.0,45.0,75,2022-12-25 23:02:22,7.7,2022-12-25 23:13:07.711661620
34,65.0,38.0,3,2024-10-18 14:55:34,24.7,2024-10-18 15:36:46.880180260
35,23.0,4.0,119,2022-09-07 11:48:37,18.2,
